country,model,cyl,drive,fuel,vehClass,mpg
Japan,ACURA ILX,4,2WD,Gasoline,small car,28
Japan,ACURA MDX,6,4WD,Gasoline,small SUV,27
Japan,ACURA MDX,6,2WD,Gasoline,small SUV,23
Japan,ACURA MDX,6,4WD,Gasoline,small SUV,22
Japan,ACURA MDX A-spec,6,4WD,Gasoline,small SUV,21
Japan,ACURA NSX,6,4WD,Gasoline,small car,21
Japan,ACURA RDX,4,2WD,Gasoline,small SUV,24
Japan,ACURA RDX,4,4WD,Gasoline,small SUV,23
Japan,ACURA RDX A-SPEC,4,2WD,Gasoline,small SUV,24
Japan,ACURA RDX A-SPEC,4,4WD,Gasoline,small SUV,23
Japan,ACURA RLX,6,4WD,Gasoline,midsize car,28
Japan,ACURA RLX,6,2WD,Gasoline,midsize car,23
Japan,ACURA TLX,4,2WD,Gasoline,small car,27
Japan,ACURA TLX,6,2WD,Gasoline,small car,24
Japan,ACURA TLX,6,4WD,Gasoline,small car,23
Japan,ACURA TLX AWD A-SPEC,6,4WD,Gasoline,small car,23
Japan,ACURA TLX FWD A-SPEC,4,2WD,Gasoline,small car,26
Japan,ACURA TLX FWD A-SPEC,6,2WD,Gasoline,small car,23
Italy,ALFA ROMEO 4C,4,2WD,Gasoline,small car,28
Italy,ALFA ROMEO Giulia,4,2WD,Gasoline,midsize car,27
Italy,ALFA ROMEO Giulia,6,2WD,Gasoline,midsize car,20
Italy,ALFA ROMEO Giulia AWD,4,4WD,Gasoline,midsize car,26
Italy,ALFA ROMEO Stelvio,4,2WD,Gasoline,small SUV,25
Italy,ALFA ROMEO Stelvio AWD,4,4WD,Gasoline,small SUV,24
Italy,ALFA ROMEO Stelvio AWD,6,4WD,Gasoline,small SUV,19
UK,ASTON MARTIN DB11,8,2WD,Gasoline,small car,20
UK,ASTON MARTIN DB11,12,2WD,Gasoline,small car,18
UK,ASTON MARTIN DBS,12,2WD,Gasoline,small car,17
Germany,AUDI A4,4,4WD,Gasoline,small car,27
Germany,AUDI A5,4,4WD,Gasoline,small car,27
Germany,AUDI A5 Cabriolet,4,4WD,Gasoline,small car,27
Germany,AUDI A5 Sportback quattro,4,4WD,Gasoline,midsize car,27
Germany,AUDI A6,6,4WD,Gasoline,midsize car,25
Germany,AUDI A7,6,4WD,Gasoline,midsize car,25
Germany,AUDI A8 L,6,4WD,Gasoline,large car,22
Germany,AUDI Q7,4,4WD,Gasoline,standard SUV,21
Germany,AUDI Q7,6,4WD,Gasoline,standard SUV,21
Germany,AUDI Q8,6,4WD,Gasoline,standard SUV,19
Germany,AUDI RS 5,6,4WD,Gasoline,small car,21
Germany,AUDI RS 5 Sportback,6,4WD,Gasoline,midsize car,20
Germany,AUDI S3,4,4WD,Gasoline,small car,25
Germany,AUDI S4,6,4WD,Gasoline,small car,24
Germany,AUDI S5,6,4WD,Gasoline,small car,24
Germany,AUDI S5 Cabriolet,6,4WD,Gasoline,small car,24
Germany,AUDI S5 Sportback,6,4WD,Gasoline,midsize car,24
Germany,AUDI SQ5,6,4WD,Gasoline,small SUV,21
UK,BENTLEY Bentayga,8,4WD,Gasoline,standard SUV,17
UK,BENTLEY Chiron,16,4WD,Gasoline,small car,11
UK,BENTLEY Mulsanne,8,2WD,Gasoline,midsize car,12
Germany,BMW 230i Convertible,4,2WD,Gasoline,small car,27
